Model_index Run_id Replica_id Frame_id Total_Score Total_Score
0 0 0 39 1504.90 1504.90
1 0 0 45 1501.70 1501.70
2 0 0 74 1504.14 1504.14
3 0 0 111 1503.02 1503.02
4 0 0 194 1500.81 1500.81
5 0 0 213 1501.63 1501.63
6 0 0 217 1501.53 1501.53
7 0 0 224 1503.83 1503.83
8 0 0 269 1504.50 1504.50
9 0 0 272 1501.22 1501.22
10 0 1 184 1497.33 1497.33
11 0 1 185 1502.28 1502.28
12 0 1 253 1501.54 1501.54
13 0 1 257 1503.22 1503.22
14 0 1 274 1503.91 1503.91
15 0 1 276 1503.11 1503.11
16 0 1 280 1499.26 1499.26
17 0 1 281 1502.57 1502.57
18 0 1 282 1503.09 1503.09
19 0 1 285 1504.20 1504.20
20 0 1 286 1500.97 1500.97
21 0 1 300 1503.86 1503.86
22 0 1 304 1501.92 1501.92
23 0 1 313 1503.23 1503.23
24 0 1 320 1491.52 1491.52
25 0 1 321 1499.03 1499.03
26 0 1 344 1504.54 1504.54
27 0 1 374 1502.26 1502.26
28 0 1 404 1501.65 1501.65
29 0 1 413 1498.81 1498.81
30 0 1 503 1499.99 1499.99
31 0 1 505 1502.33 1502.33
32 0 1 526 1502.88 1502.88
33 0 1 563 1503.23 1503.23
34 0 1 608 1503.76 1503.76
35 0 1 666 1503.16 1503.16
36 0 1 687 1498.76 1498.76
37 0 1 721 1504.65 1504.65
38 0 1 723 1499.86 1499.86
39 0 1 727 1502.90 1502.90
40 0 2 25 1504.96 1504.96
41 0 2 173 1500.38 1500.38
42 0 2 176 1501.54 1501.54
43 0 2 185 1494.44 1494.44
44 0 2 213 1504.57 1504.57
45 0 2 264 1501.18 1501.18
46 0 2 301 1504.42 1504.42
47 0 2 332 1501.89 1501.89
48 0 2 336 1502.23 1502.23
49 0 2 339 1504.53 1504.53
50 0 2 391 1501.87 1501.87
51 0 2 429 1501.56 1501.56
52 0 2 444 1501.34 1501.34
53 0 2 445 1504.42 1504.42
54 0 2 465 1497.54 1497.54
55 0 2 477 1494.28 1494.28
56 0 2 506 1502.21 1502.21
57 0 2 529 1504.90 1504.90
58 0 2 542 1501.45 1501.45
59 0 2 543 1503.29 1503.29
60 0 2 571 1504.41 1504.41
61 0 2 576 1502.56 1502.56
62 0 2 579 1503.35 1503.35
63 0 2 691 1503.76 1503.76
64 0 2 724 1501.76 1501.76
65 0 2 730 1502.64 1502.64
66 0 2 732 1503.65 1503.65
67 0 2 741 1504.43 1504.43
68 0 2 743 1503.24 1503.24
69 0 2 745 1501.64 1501.64
70 0 2 747 1503.11 1503.11
71 0 2 751 1498.98 1498.98
72 0 2 766 1502.33 1502.33
73 0 2 810 1501.69 1501.69
74 0 2 834 1501.00 1501.00
75 0 2 835 1502.59 1502.59
76 0 2 838 1501.66 1501.66
77 0 2 856 1500.26 1500.26
78 0 3 25 1504.06 1504.06
79 0 3 59 1502.17 1502.17
80 0 3 116 1501.08 1501.08
81 0 3 184 1491.08 1491.08
82 0 3 195 1501.33 1501.33
83 0 3 196 1503.97 1503.97
84 0 3 283 1496.84 1496.84
85 0 3 294 1502.49 1502.49
86 0 3 296 1501.63 1501.63
87 0 3 318 1501.40 1501.40
88 0 3 408 1504.68 1504.68
89 0 3 414 1504.87 1504.87
90 0 3 466 1502.90 1502.90
91 0 4 119 1503.88 1503.88
92 0 4 150 1501.43 1501.43
93 0 4 244 1502.30 1502.30
94 0 4 245 1504.14 1504.14
95 0 4 327 1503.80 1503.80
96 0 4 329 1502.15 1502.15
97 0 4 360 1502.12 1502.12
98 0 4 366 1500.73 1500.73
99 0 4 387 1501.38 1501.38
100 0 4 545 1497.47 1497.47
101 0 4 548 1501.65 1501.65
102 0 4 603 1496.63 1496.63
103 0 4 647 1501.16 1501.16
104 0 4 695 1504.44 1504.44
105 0 4 697 1493.43 1493.43
106 0 4 726 1503.01 1503.01
107 0 5 68 1504.56 1504.56
108 0 5 116 1503.32 1503.32
109 0 5 190 1503.59 1503.59
110 0 5 191 1501.68 1501.68
111 0 5 192 1503.18 1503.18
112 0 5 193 1499.64 1499.64
113 0 5 194 1504.21 1504.21
114 0 5 254 1500.48 1500.48
115 0 5 284 1498.93 1498.93
116 0 5 322 1504.39 1504.39
117 0 5 343 1504.40 1504.40
118 0 5 348 1501.13 1501.13
119 0 5 404 1504.03 1504.03
120 0 5 430 1502.53 1502.53
121 0 5 431 1500.16 1500.16
122 0 5 466 1504.48 1504.48
123 0 5 474 1499.16 1499.16
124 0 5 475 1498.29 1498.29
125 0 5 491 1503.44 1503.44
126 0 5 497 1492.63 1492.63
127 0 5 498 1500.34 1500.34
128 0 5 499 1502.22 1502.22
129 0 5 529 1498.37 1498.37
130 0 5 570 1502.99 1502.99
131 0 5 602 1497.13 1497.13
132 0 5 637 1500.95 1500.95
133 0 5 641 1502.88 1502.88
134 0 5 669 1498.54 1498.54
135 0 5 670 1498.48 1498.48
136 0 5 671 1504.96 1504.96
137 0 5 682 1504.10 1504.10
138 0 5 683 1501.63 1501.63
139 0 5 696 1500.28 1500.28
140 0 5 697 1499.42 1499.42
141 0 5 702 1504.63 1504.63
142 0 5 704 1500.65 1500.65
143 0 5 712 1495.34 1495.34
144 0 5 716 1504.90 1504.90
145 0 5 727 1503.82 1503.82
146 0 5 728 1504.46 1504.46
147 0 5 731 1504.01 1504.01
148 0 5 747 1498.54 1498.54
149 0 5 748 1493.09 1493.09
150 0 5 765 1503.40 1503.40
151 0 5 766 1494.78 1494.78
152 0 5 771 1498.99 1498.99
153 0 5 772 1503.59 1503.59
154 0 5 773 1496.93 1496.93
155 0 5 774 1502.98 1502.98
156 0 5 780 1503.62 1503.62
157 0 5 781 1503.07 1503.07
158 0 5 782 1501.02 1501.02
159 0 5 783 1504.41 1504.41
160 0 5 799 1500.73 1500.73
161 0 5 802 1502.52 1502.52
162 0 5 817 1504.61 1504.61
163 0 5 827 1503.40 1503.40
164 0 5 828 1500.10 1500.10
165 0 5 830 1502.65 1502.65
166 0 5 831 1503.51 1503.51
167 0 5 838 1502.77 1502.77
168 0 5 854 1504.55 1504.55
169 0 5 859 1503.79 1503.79
170 0 5 864 1503.72 1503.72
171 0 5 871 1501.93 1501.93
172 0 5 876 1501.70 1501.70
173 0 5 892 1504.65 1504.65
174 0 5 901 1499.99 1499.99
175 0 5 915 1499.09 1499.09
176 0 5 916 1489.60 1489.60
177 0 5 927 1501.55 1501.55
178 0 5 941 1501.00 1501.00
179 0 5 942 1499.11 1499.11
180 0 5 959 1501.20 1501.20
181 0 5 975 1503.26 1503.26
182 0 5 976 1501.46 1501.46
183 0 5 993 1504.91 1504.91
184 0 5 1046 1499.56 1499.56
185 0 6 102 1500.04 1500.04
186 0 6 159 1496.02 1496.02
187 0 6 236 1504.02 1504.02
188 0 6 251 1501.97 1501.97
189 0 6 254 1503.77 1503.77
190 0 7 55 1503.81 1503.81
191 0 7 67 1499.10 1499.10
192 0 7 70 1501.23 1501.23
193 0 7 85 1503.80 1503.80
194 0 7 93 1504.41 1504.41
195 0 7 100 1504.30 1504.30
196 0 7 114 1504.39 1504.39
197 0 7 123 1492.58 1492.58
198 0 7 130 1503.74 1503.74
199 0 7 191 1502.88 1502.88
200 0 7 192 1502.07 1502.07
201 0 7 195 1495.88 1495.88
202 0 7 215 1503.28 1503.28
203 0 7 246 1502.32 1502.32
204 0 7 328 1502.37 1502.37
205 0 7 329 1502.47 1502.47
206 0 7 344 1503.79 1503.79
207 0 7 347 1499.47 1499.47
208 0 7 352 1504.45 1504.45
209 0 7 356 1497.69 1497.69
210 0 7 357 1503.33 1503.33
211 0 7 400 1504.44 1504.44
212 0 7 409 1502.09 1502.09
213 0 7 464 1503.87 1503.87
214 0 7 467 1499.61 1499.61
215 0 7 481 1499.56 1499.56
216 0 7 482 1498.46 1498.46
217 0 7 488 1502.69 1502.69
218 0 7 505 1500.90 1500.90
219 0 7 507 1500.35 1500.35
220 0 7 510 1499.20 1499.20
